mode.medium.name #普通模式
mode.assign_attributes.name #分配属性
mode.difficult.name #苦难模式
var.day.name #天数
var.day.description #这是你存在的证明，时间会带来一切可能
var.money.name #金钱
var.money.description #通用货币，必不可少
var.health.name #健康
var.health.description #生命状况的反映。健康≤0时死亡
var.luck.name #幸运
var.luck.description #实力的一部分，无法完全否认它的作用
var.magic.name #魔力
var.magic.description #魔法的力量
var.moral.name #道德
var.moral.description #道德水平类似的生物会无意中聚集在一起
var.physique.name #体质
var.physique.description #在这危机重重的世界中不可或缺
var.pressure.name #压力
var.pressure.description #内心状态的反映。压力≥最大压力时死亡
var.prestige.name #声望
var.prestige.description #危险与机遇都会随着声望提高而浮现
var.soul.name #灵力
var.soul.description #灵魂的力量，强大但又危险
var.charm.name #魅力
var.charm.description #拥有高的魅力，通常代表你会更有优势
var.wisdom.name #智慧
var.wisdom.description #不仅能影响信息，也能让你有更多机遇
ml:BloodPotion #魔王鲜血
ml:MagicalBook #魔法学书籍
ml:MonkeyHead #猴头
